main_id,mass_solar,mass_error_solar,log_radius_solar,log_temperature_k,bibcode
* alf Eri,5.39,1.82,0.92,4.16,1999A&A...352..555A
* gam Ori,7.77,2.70,0.76,4.33,1999A&A...352..555A
* bet Tau,4.10,0.18,0.71,4.10,1999A&A...352..555A
* bet Aur,2.58,0.07,0.63,3.93,1999A&A...352..555A
* gam Gem,2.84,0.08,0.68,3.96,1999A&A...352..555A
* alf Gem,2.47,0.02,0.45,3.95,1999A&A...352..555A
* bet Gem,1.70,0.40,0.95,3.68,1999A&A...352..555A
* bet Car,2.96,0.00,0.80,3.92,1999A&A...352..555A
* alf Leo,3.23,0.17,0.59,4.04,1999A&A...352..555A
* alf Cru,13.61,1.06,1.00,4.39,1999A&A...352..555A
* eps UMa,2.82,0.12,0.59,3.98,1999A&A...352..555A
* alf Vir,10.74,0.69,0.90,4.35,1999A&A...352..555A
* eta UMa,3.32,0.19,0.59,4.05,1999A&A...352..555A
* alf Boo,1.89,1.05,1.36,3.65,1999A&A...352..555A
* tet Sco,4.63,0.01,1.37,3.82,1999A&A...352..555A
* eps Sgr,3.47,0.06,0.85,3.97,1999A&A...352..555A
* alf Lyr,2.51,0.04,0.43,3.97,1999A&A...352..555A
* alf Aql,1.60,0.09,0.25,3.88,1999A&A...352..555A
* alf Pav,4.38,0.21,0.80,4.08,1999A&A...352..555A
* alf Gru,3.14,0.13,0.65,4.01,1999A&A...352..555A
* alf PsA,1.97,0.08,0.27,3.92,1999A&A...352..555A
