main_id,teff,log_g,fe_h,bibcode
* alf Aql,6246,4.349,0.19,2024A&A...683A.125P
* alf Aur,5205,2.5,-0.37,2022A&A...663A...4S
* alf Boo,4236,1.63,-0.63,2024A&A...690A..97C
* alf Car,7000,1.12,-0.272,2023ApJS..266...11B
* alf Eri,14680,3.0822,0.18,2023ApJS..266...11B
* alf Gem,9031,3.9385,0.1921,2023ApJS..266...11B
* alf Gru,13201,3.84,,2003AJ....125.1598L
* alf Leo,11737,3.549,0.1668,2023ApJS..266...11B
* alf Lyr,9375,3.98,,2026ApJ..1006..228K
* alf Ori,4250,1.5,,2023MNRAS.519.5472M
* alf Pav,17560,,,1995A&AS..110..553S
* alf Per,6439,1.28,-0.159,2025ApJ...985..176B
* alf PsA,8745,4.17,,2021A&A...647A..49S
* alf Tau,3671,1.45,-0.93,2024A&A...690A..97C
* alf TrA,4184,0.82,0.0,2022A&A...663A...4S
* alf UMa,4660,2.46,-0.2,2025A&A...698A..93J
* alf Vir,24683,3.8063,-0.02,2023ApJS..266...11B
* bet Aur,9200,3.98,0.37,2019MNRAS.485.1067T
* bet Car,8866,3.16,,2003AJ....125.1598L
* bet Cen,33250,3.877,-0.258,2023ApJS..266...11B
* bet Cru,26800,3.63,,2024A&A...687A.228D
* bet Gem,4868,2.82,0.04,2025A&A...703A.128B
* bet Ori,12622,1.907,-0.159,2023ApJS..266...11B
* bet Tau,15000,3.5,,2023MNRAS.519.5472M
* eps CMa,23800,3.29,,2024A&A...687A.228D
* eps Sgr,9520,,,2009A&A...501..297Z
* eps UMa,9333,3.2,-0.1,1976IAUCo..32..623E
* eta UMa,17870,,,2009A&A...501..297Z
* gam Gem,9100,3.4,-0.1,2016A&A...589A..83G
* gam Ori,22000,4.0,,2023MNRAS.519.5472M
* tet Sco,6243,2.342,-0.44,2023ApJS..266...11B
