main_id,temperature_k,luminosity_solar,bibcode
* alf Eri,15218,2775.98,2012MNRAS.427..343M
* alf Per,6228,3784.07,2012MNRAS.427..343M
* bet Ori,11968,83226.20,2012MNRAS.427..343M
* gam Ori,24342,9210.78,2012MNRAS.427..343M
* alf Ori,3659,73524.20,2012MNRAS.427..343M
* bet Aur,8472,83.97,2012MNRAS.427..343M
* alf Car,7021,11642.80,2012MNRAS.427..343M
* gam Gem,9049,163.45,2012MNRAS.427..343M
* eps CMa,22127,20729.50,2012MNRAS.427..343M
* alf Gem,8453,46.52,2012MNRAS.427..343M
* eps Car,4209,14086.30,2012MNRAS.427..343M
* bet Car,8938,211.06,2012MNRAS.427..343M
* alf Cru,25998,36602.60,2012MNRAS.427..343M
* bet Cru,24107,15443.50,2012MNRAS.427..343M
* eps UMa,9125,110.31,2012MNRAS.427..343M
* alf Vir,24922,17079.90,2012MNRAS.427..343M
* eta UMa,15716,462.55,2012MNRAS.427..343M
* bet Cen,21001,36925.30,2012MNRAS.427..343M
* alf Sco,3548,66430.90,2012MNRAS.427..343M
* alf TrA,4392,3939.56,2012MNRAS.427..343M
* lam Sco,24900,48238.40,2012MNRAS.427..343M
* tet Sco,6589,1179.11,2012MNRAS.427..343M
* alf Pav,16637,1438.16,2012MNRAS.427..343M
