id,name,main_id,ra,dec,otype,sp_type,plx_value,plx_err,pmra,pmdec,rvz_radvel,V
bright-achernar,Achernar,* alf Eri,24.428522833333336,-57.236752805555554,Be*,B6Vpe,23.39,0.57,87.0,-38.24,8.47,0.46
bright-acrux,Acrux,* alf Cru,186.64956340120452,-63.099092857925115,SB*,B0.5IV+B1V,10.13,0.5,-35.83,-14.86,11.9,0.76
bright-adhara,Adhara,* eps CMa,104.65645315148348,-28.972086157360806,*,B1.5II,8.05,0.14,3.24,1.33,27.3,1.5
bright-aldebaran,Aldebaran,* alf Tau,68.9801627900154,16.5093023507718,LP?,K5+III,48.94,0.77,63.45,-188.94,54.398,0.86
bright-alhena,Alhena,* gam Gem,99.42796042942895,16.399280426663772,SB*,A1.5IV+,29.84,2.23,13.81,-54.96,-12.63,1.92
bright-alioth,Alioth,* eps UMa,193.5072899675,55.95982295694445,a2*,A1III-IVpkB9,39.51,0.2,111.91,-8.24,-12.7,1.77
bright-alkaid,Alkaid,* eta UMa,206.88515734206297,49.31326672942533,PM*,B3V,31.38,0.24,-121.17,-14.91,-13.4,1.86
bright-alnair,Alnair,* alf Gru,332.05826969609114,-46.96097438191952,PM*,B6V,32.29,0.21,126.69,-147.47,10.9,1.71
10pc-0117,Altair,* alf Aql,297.69582729638694,8.868321196436963,dS*,A7Vn,194.95,0.57,536.23,385.29,-26.6,0.76
bright-antares,Antares,* alf Sco,247.3519154198264,-26.432002611950832,s*r,M1.5Iab+B2Vn,5.89,1.0,-12.11,-23.3,-3.5,0.91
cns5-3517,Arcturus,* alf Boo,213.915300294925,19.1824091615312,RG*,K1.5IIIFe-0.5,88.83,0.54,-1093.39,-2000.06,-5.229,-0.05
bright-atria,Atria,* alf TrA,252.1662295073803,-69.02771184691984,*,K2III_Ba1,8.35,0.15,17.99,-31.58,-3.0,1.88
bright-avior,Avior,* eps Car,125.62848024272952,-59.509484191917416,**,K3:III+B2:V,5.39,0.42,-25.52,22.06,11.6,1.86
bright-bellatrix,Bellatrix,* gam Ori,81.28276355652378,6.3497032644440665,*,B2III,12.92,0.52,-8.11,-12.88,17.31,1.64
bright-betelgeuse,Betelgeuse,* alf Ori,88.79293899077537,7.407063995272694,s*r,M1-M2Ia-Iab,6.55,0.83,27.54,11.3,21.91,0.42
bright-canopus,Canopus,* alf Car,95.98795782918306,-52.69566138386201,*,A9II,10.55,0.56,19.93,23.24,20.3,-0.74
cns5-1318,Capella,* alf Aur,79.17232794433404,45.99799146983673,SB*,G3III:,76.2,0.46,75.25,-426.89,29.19,0.08
bright-castor,Castor,* alf Gem,113.64947163976585,31.88828221646326,**,A1V+A2Vm,64.12,3.75,-191.45,-145.19,-11.23,1.58
bright-dubhe,Dubhe,* alf UMa,165.9319646738126,61.751034687818226,SB*,G9III+A7.5,26.54,0.48,-134.11,-34.7,-9.4,1.79
bright-elnath,Elnath,* bet Tau,81.57297133176498,28.607451724998228,PM*,B7III,24.36,0.34,22.76,-173.58,9.2,1.65
cns5-5665,Fomalhaut,* alf PsA,344.4126927211701,-29.622237033389442,PM*,A4V,129.81,0.47,328.95,-164.67,6.5,1.16
bright-gacrux,Gacrux,* gam Cru,187.79149837560794,-57.11321345705891,PM*,M3.5III,36.83,0.18,28.23,-265.08,21.0,1.64
bright-hadar,Hadar,* bet Cen,210.95585562281522,-60.373035161541594,bC*,B1III,8.32,0.5,-33.27,-23.16,2.52,0.58
bright-kaus-australis,Kaus Australis,* eps Sgr,276.0429933505963,-34.38461648586744,PM*,B9IVp_lB?,22.76,0.24,-39.42,-124.2,-15.0,1.81
bright-menkalinan,Menkalinan,* bet Aur,89.88217886833333,44.94743257194444,SB*,A1IV-Vp,40.21,0.23,-56.44,-0.95,-15.75,1.9
bright-miaplacidus,Miaplacidus,* bet Car,138.29990608310192,-69.71720759721548,PM*,A1III-,28.82,0.11,-156.47,108.95,-5.1,1.69
bright-mimosa,Mimosa,* bet Cru,191.9302865619529,-59.68877199622606,bC*,B1IV,11.71,0.98,-42.97,-16.18,10.3,1.25
bright-mirfak,Mirfak,* alf Per,51.08070871833333,49.86117929305556,V*,F5Ib,6.44,0.17,23.75,-26.23,-2.158,1.79
bright-peacock,Peacock,* alf Pav,306.4119043651986,-56.73508972631689,SB*,B2IV,18.24,0.52,6.9,-86.02,2.0,1.918
cns5-1912,Pollux,* bet Gem,116.32895777437875,28.02619889009357,PM*,K0IIIb,96.54,0.27,-626.55,-45.8,3.391,1.14
bright-regulus,Regulus,* alf Leo,152.09296243828146,11.967208776100023,PM*,B8IVn,41.13,0.35,-248.73,5.59,0.719522,1.4
bright-rigel,Rigel,* bet Ori,78.63446706693006,-8.201638364722209,s*b,B8Ia,3.78,0.34,1.31,0.5,17.8,0.13
bright-sargas,Sargas,* tet Sco,264.3297077207907,-42.99782799333082,*,F1III,10.86,1.49,5.54,-3.12,5.18,1.85
bright-shaula,Shaula,* lam Sco,263.40216718438023,-37.10382355111976,bC*,B2IV+DA7.9,5.71,0.75,-8.53,-30.8,-3.0,1.63
bright-spica,Spica,* alf Vir,201.2982473615632,-11.161319485111932,bC*,B1V,13.06,0.7,-42.35,-30.67,-3.31,0.97
cns5-4607,Vega,* alf Lyr,279.234734787025,38.783688956244,dS*,A0V,130.23,0.36,200.94,286.23,-13.5,0.03
