source_id,ra,dec,ref_epoch,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,duplicated_source,teff_gspphot,teff_gspphot_lower,teff_gspphot_upper,mh_gspphot,mh_gspphot_lower,mh_gspphot_upper,mass_flame,mass_flame_lower,mass_flame_upper,lum_flame,lum_flame_lower,lum_flame_upper,radius_flame,radius_flame_lower,radius_flame_upper,age_flame,age_flame_lower,age_flame_upper,flags_flame
3179036008830848,48.353258238212746,4.775200170986658,2016.0,116.26781443397161,0.042744365,1741.8746105332423,0.04745122,86.49438435103424,0.0436992,28.16455,0.46345535,false,2962.7512,2949.462,2969.077,-0.2385,-0.3513,-0.1641,,,,0.0030004985,0.0030001984,0.0030007986,0.20695946,0.20282026,0.21109866,,,,20
14912165107085184,47.251989727646745,10.021186116181132,2016.0,79.45324543622554,0.02760114,286.34308194709666,0.039579593,-586.2967992412398,0.02931335,-29.26276,0.67946154,false,2998.476,2998.188,2998.7788,-0.3476,-0.3488,-0.3463,,,,0.0021570842,0.0021568683,0.0021573,0.17209633,0.16865438,0.17553827,,,,20
18565464288396416,39.07167733324421,6.8780898981735605,2016.0,138.4370910355932,0.041985847,1801.671457880569,0.043110535,1450.4869465238849,0.037766326,26.102678,0.28276944,false,3002.6929,3002.2876,3003.0376,-0.7057,-0.7077,-0.7039,,,,0.008771255,0.01,0.01377126,0.3460773,0.3208679,0.44495958,,,,20
19316224572460416,39.02838450657828,6.8933391075785275,2016.0,138.34000380964673,0.31773403,1778.585493720961,0.4300584,1477.3061594730598,0.24807107,25.208157,0.1449657,false,,,,,,,,,,,,,,,,,,,
31235033696866688,48.51322023809659,16.051276290714064,2016.0,72.63052496463385,0.19024242,-242.95472129646478,0.18599853,-54.85265153958889,0.15765223,,,false,,,,,,,,,,,,,,,,,,,
33732162042339072,41.64079022240677,16.416972047012635,2016.0,71.60475602761157,0.057644315,-831.5331881851774,0.060153704,-569.0246394430965,0.0553611,,,false,,,,,,,,,,,,,,,,,,,
35227046884571776,43.26964247679057,16.86437381897744,2016.0,260.98844068047276,0.09342672,3429.0828268077694,0.087942876,-3805.54112273733,0.08326042,,,false,,,,,,,,,,,,,,,,,,,
43574131143039104,58.17597943609416,17.014956629753385,2016.0,103.50079405457333,0.08819867,433.182994699696,0.106628865,-645.3686186694839,0.06898687,35.963917,1.7828425,false,,,,,,,,,,,,,,,,,,,
65829792677145344,58.691130905257694,24.27252217695994,2016.0,74.98865311008939,0.05667107,-293.33809684449193,0.07317235,-221.46381033206632,0.04234693,,,false,,,,,,,,,,,,,,,,,,,
74203982469858816,34.126686286501574,13.584959360471915,2016.0,109.94998579551846,0.07035666,504.215607702792,0.06316317,-433.1428938279141,0.051045492,18.89453,2.998947,false,,,,,,,,,,,,,,,,,,,
76868614540049408,30.058987047653364,13.044071201123836,2016.0,223.73208720990553,0.069856286,1096.4584858968615,0.06671383,-1771.5261453794967,0.056617845,-28.292406,0.25476867,false,,,,,,,,,,,,,,,,,,,
87921523897823872,38.97329569548593,20.219260277260023,2016.0,71.21640847108424,0.023202313,249.83907360754708,0.027399382,-140.33557150909022,0.022536617,0.55558777,0.18025115,false,3400.08,3311.9038,3500.7576,-0.5221,-0.7976,-0.2643,,,,0.03846914,0.03346904,0.04346923,0.5862544,0.54639125,0.6261175,,,,20
96331172942614528,25.62258568627586,20.26551918225611,2016.0,130.823369060264,0.15318972,-300.73691840079994,0.13664803,-673.5388952717276,0.10562495,-33.697662,0.12617125,false,5092.744,5091.184,5094.2344,-0.307,-0.3164,-0.2984,0.8127994,0.7727994,0.8527994,0.4628649,0.4577455,0.46798167,0.8739507,0.8558158,0.89208496,,,,00
102162639019033600,38.40513666109431,24.92413187711575,2016.0,100.14654474186186,0.042935688,48.39169781028855,0.043675553,-675.7897086061098,0.045849912,-6.4835854,0.35929582,false,3089.2524,3064.308,3101.007,-0.3066,-0.6803,-0.1262,,,,0.0055671716,0.01,0.010569118,0.2605447,0.1566853,0.37770665,,,,20
114207651462714880,41.068881780380345,25.52175109435131,2016.0,130.19563405443222,0.028051848,864.5251260254983,0.028395249,-363.19555086835487,0.025922759,30.25486,0.1532801,false,3179.169,3157.587,3238.1348,-0.7115,-0.7846,-0.4589,,,,0.01789197,0.01775371,0.017971193,0.44078022,0.42466503,0.44775355,,,,20
121254932585133568,54.03685781019895,31.31038873961227,2016.0,73.20776767623718,0.04488647,115.3597295257625,0.04646749,-132.3332198036441,0.038748913,14.461628,1.2441938,false,,,,,,,,,,,,,,,,,,,
144312344255035392,68.39367443219042,20.74463639402465,2016.0,73.51473636696828,0.030735936,454.8640847041525,0.033515245,-321.9457729525654,0.02026177,-2.7238092,1.6460981,false,3034.3267,3026.6655,3046.2202,-0.6742,-0.7794,-0.5072,,,,0.0028440163,0.0028437318,0.0028443008,0.19303797,0.1891772,0.19689874,,,,20
145421309108301184,67.25019487312947,21.92347532672426,2016.0,89.05460882101701,0.023446703,-67.01749247499168,0.02845738,174.62675301173243,0.020580705,-35.744156,0.118937805,false,3815.0378,3801.9475,3845.4495,-0.5783,-0.6612,-0.469,,,,0.12628733,0.121279225,0.13129064,0.81379455,0.7908756,0.83670264,,,,20
156150240492946816,77.66340440529314,29.78023889010632,2016.0,80.33526045489403,0.03306636,-246.89890116230157,0.034197498,57.78197178694594,0.02488421,-35.867126,0.21991962,false,,,,,,,,,,,,,,,,,,,
157915472050611456,69.55439166864008,28.216397864189464,2016.0,76.30705689396355,0.16309504,386.61505616028944,0.1861683,-79.48870523747335,0.14081517,40.29239,2.9857416,false,,,,,,,,,,,,,,,,,,,
157915536473892224,69.5547038414492,28.21620859415161,2016.0,75.66627620353817,0.07666169,393.5895202478289,0.098108225,-93.11131078209488,0.06856649,36.03524,0.97273743,false,,,,,,,,,,,,,,,,,,,
167202325215063168,60.40425876511105,28.830850805459676,2016.0,80.3803592551793,0.21024427,-468.257296045708,0.2588888,-102.60845638930972,0.15646195,,,false,,,,,,,,,,,,,,,,,,,
170639948323693952,62.15864195363978,33.63759679656128,2016.0,71.82205959553683,0.018904958,526.8736624635442,0.021882802,126.02597411315382,0.013901019,34.21244,0.14674056,false,3639.0974,3616.9912,3650.5967,-0.4621,-0.6166,-0.3593,0.5449567,0.50453407,0.5855953,0.050263565,0.049768094,0.05040635,0.63248557,0.60616565,0.64783216,5.9885893,0.2,13.5,00
179700710496485504,67.60697228135813,39.847325823269244,2016.0,91.84290429044435,0.026944173,274.7361941859391,0.032318566,-565.4349499702367,0.025207918,15.733405,0.7730753,false,,,,,,,,,,,,,,,,,,,
188771135583573504,79.78833900872726,40.09609817127969,2016.0,79.6021083335795,0.10045193,520.5689114669946,0.13219275,-664.487871734592,0.09714893,66.355095,0.120034285,false,5761.5337,5760.626,5762.3687,-0.3186,-0.3244,-0.3122,0.9979292,0.9579275,1.0379307,1.8109827,1.804399,1.8177772,1.3506571,1.3235326,1.3777888,10.108401,9.102089,11.114732,00
191109281417914880,84.85713696339813,40.64152329977908,2016.0,87.97466867359388,0.08009635,646.1495920545658,0.085667044,-834.4919233149807,0.05061715,,,false,,,,,,,,,,,,,,,,,,,
200296663143599104,73.15109158635963,40.70183928537737,2016.0,74.06984596438883,0.0488121,1175.720000968031,0.055516448,-1095.405742486073,0.04259271,102.451546,0.28974518,false,,,,,,,,,,,,,,,,,,,
205533465225342208,76.27525560161628,44.23424149518413,2016.0,74.13952783501048,0.03054101,95.18387177673358,0.044410113,-28.660061698127862,0.031937562,8.398448,0.81668997,false,3018.7253,3018.4966,3018.9656,-0.2122,-0.2139,-0.2106,,,,0.0028773441,0.0028770564,0.002877632,0.19611076,0.19218853,0.20003298,,,,20
211810233512673792,79.34999070128362,45.83779586527358,2016.0,74.95210975717671,0.01883288,88.4249612507515,0.020196933,-428.9109215093979,0.016972253,30.97163,0.15677783,false,3630.5886,3624.5825,3641.3816,-0.1129,-0.1585,-0.0242,0.53719205,0.4970829,0.5773574,0.048280984,0.043271173,0.05333517,0.55555,0.5246596,0.58667874,10.741266,3.3013268,13.5,00
211810233512673920,79.35014604066659,45.83684161390765,2016.0,75.18378634422855,0.05344913,53.96645153206382,0.058794755,-416.9026177100576,0.04921968,,,false,,,,,,,,,,,,,,,,,,,
229155579195699456,64.97040176423637,42.552042686039414,2016.0,97.4489959770632,0.09534248,528.6646313195976,0.08253221,-1441.613758240322,0.057803046,,,false,,,,,,,,,,,,,,,,,,,
230171768457140736,59.3320361570653,41.12839689730314,2016.0,70.50773123988075,0.060774513,-204.36787886194676,0.06201392,-24.743805798198984,0.050041407,,,false,,,,,,,,,,,,,,,,,,,
263916708025623680,85.33475293851619,53.478731438569575,2016.0,81.4987133119068,0.025277,2.803536776527377,0.02446867,-523.477490445451,0.021060443,0.9957748,0.12609318,false,5176.9434,5174.963,5178.9814,-0.2859,-0.2912,-0.2805,0.8139666,0.77395004,0.85399896,0.47172615,0.46671274,0.47674248,0.8537983,0.83612984,0.87146735,,,,00
263916742385357056,85.37807337010766,53.48750978876841,2016.0,81.46439142947709,0.023017565,3.8650721589923442,0.020597551,-515.9603142670272,0.0181734,1.6391277,0.16819885,false,3667.5244,3659.0176,3674.7798,-0.2039,-0.2944,-0.1364,,,,0.059136987,0.058509707,0.05935317,0.6811747,0.6642322,0.6974388,,,,20
266846631637524864,75.85923651184258,53.12163420733134,2016.0,72.17340591451902,0.017268956,1302.1185621203924,0.022615874,-1537.6442792268324,0.016486105,65.44726,0.14373107,false,3575.7656,3566.6414,3576.231,-0.789,-0.823,-0.7876,,,,0.05268921,0.04768907,0.057690073,0.5980751,0.5672789,0.6288751,,,,20
266846631637525120,75.85667289714588,53.121863566969814,2016.0,72.23599415423742,0.08656343,1286.5118404503908,0.10590695,-1570.3230179702246,0.08055789,,,false,,,,,,,,,,,,,,,,,,,
269066953631488384,89.98201323957848,58.56976827470822,2016.0,74.20506525451665,0.024624594,-0.5591544737456227,0.023448572,-252.69320948662102,0.024565779,0.15753625,0.51079065,false,,,,,,,,,,,,,,,,,,,
269067920001221888,89.90737758251713,58.591882912375425,2016.0,74.13970520405475,0.017304095,9.114921193697333,0.016683243,-254.01015846402925,0.015984144,-0.2905341,0.15094312,false,3390.4043,3386.567,3399.3894,-0.9688,-0.9794,-0.9405,,,,0.046348516,0.041347332,0.05134914,0.62398285,0.5880791,0.6598831,,,,20
272855565763652480,69.42278387138005,52.89150297231415,2016.0,100.91605993172233,0.026600812,304.12546543632584,0.02965237,-475.1460368893003,0.023979941,33.72583,0.13611707,false,3760.6282,3730.2793,3800.8206,-0.6343,-0.7844,-0.4619,0.60596526,0.56591856,0.6463476,0.07937894,0.07437415,0.084383205,0.66351694,0.63874537,0.6882866,10.321465,3.782393,13.5,00
283569928616960768,86.45398752483742,62.233278096244746,2016.0,74.1187240892331,0.018022198,297.263402945699,0.010858539,-786.5346566444352,0.01194351,-20.715618,0.122924216,false,,,,,,,,,,,,,,,,,,,
308256610357824640,16.41654124373291,28.491827062343326,2016.0,79.92625234127838,0.2547965,1917.6506594295265,0.2629171,-187.26396142979064,0.22233261,,,false,,,,,,,,,,,,,,,,,,,
326173044957518080,34.26965162484768,34.22313618253068,2016.0,91.6503559470644,0.42705396,1151.9350274578856,0.41110843,-246.60542439770165,0.2999191,-7.204872,1.844189,false,,,,,,,,,,,,,,,,,,,
327944328126649856,34.29473704167926,35.44121898612927,2016.0,96.7355313539234,0.04751567,548.9680375393165,0.06277868,-259.60526407353575,0.04772919,,,false,,,,,,,,,,,,,,,,,,,
348020242217448576,24.208998277705287,41.39055046681678,2016.0,74.18150048920077,0.035620563,-172.437199106067,0.031008085,-383.8240371951321,0.026677094,-28.317282,0.393816,false,,,,,,,,,,,,,,,,,,,
348020482735930112,24.198321215249642,41.4037617615712,2016.0,74.19396780666189,0.2082973,-171.89184082707104,0.27009702,-381.8151588992299,0.13014849,-28.74587,0.12611356,false,6096.4243,6093.169,6098.3823,-0.0976,-0.1117,-0.0851,1.256555,1.2165167,1.2965937,3.4089487,3.3901033,3.4284277,1.655236,1.6218166,1.6886768,3.9052172,3.400991,4.4094405,00
354077348697687424,35.56244783524825,47.880213287675296,2016.0,83.66062193439063,0.026224768,216.13395538312858,0.025820905,41.43599227073439,0.031850155,-38.60526,0.1310206,false,3731.8298,3718.1858,3748.451,-0.2263,-0.3798,-0.131,0.5750225,0.5349834,0.61526626,0.06640145,0.061172843,0.07148314,0.6141867,0.5870643,0.6407051,13.3175,7.858092,13.5,00
377423450888562304,14.265155951103674,45.08575010284643,2016.0,76.11009992405228,0.025093278,625.8373665033184,0.027301973,-68.02529909206436,0.017483892,6.476061,0.17218249,false,,,,,,,,,,,,,,,,,,,
385334196532776576,4.625300681217554,44.02874451664357,2016.0,280.6947310460246,0.027839076,2862.7964264973784,0.022829484,336.43190371856457,0.01896944,10.603611,0.14668693,false,3020.2869,3019.3335,3028.4321,-0.7747,-0.7828,-0.7337,,,,0.0037119307,0.0037115593,0.003712302,0.22242324,0.21797477,0.22687171,,,,20
385334230892516480,4.613226257557736,44.02478674398518,2016.0,280.706821579123,0.020284552,2891.5180773367792,0.015489398,411.8320203661465,0.01302328,11.367275,0.12266349,false,3352.2085,3351.798,3353.4177,-1.4361,-1.437,-1.4278,,,,0.023865439,0.018865429,0.028865457,0.4579952,0.4091517,0.5068388,,,,20
386653747925624576,1.4262386378366099,45.80971591580014,2016.0,86.82060614940866,0.029744592,846.0132101843459,0.02998101,-148.9092143394255,0.02449467,-2.2391562,0.13771725,false,,,,,,,,,,,,,,,,,,,
386653851004022144,1.4265906375173685,45.811373876292514,2016.0,86.80034639406611,0.024339102,888.4790652562915,0.022946188,-162.83098719525617,0.019623658,1.2486756,0.21936586,false,,,,,,,,,,,,,,,,,,,
386655019234959872,1.3009212651019344,45.785894350455116,2016.0,86.92985294608008,0.017042965,870.7325008268119,0.017015498,-151.3924962859703,0.013093354,-0.79244775,0.13856892,false,3633.867,3633.458,3634.5293,-0.0317,-0.0346,-0.0291,,,,0.04481318,0.04398717,0.045421213,0.56849426,0.5463727,0.5898214,,,,20
392350008432819328,3.9121438389884853,47.58934198184821,2016.0,86.99250931647948,0.036480345,-78.673398826095,0.034573596,-21.616236472215483,0.026143635,4.4394135,0.14404175,false,3215.3032,3214.599,3220.5305,-1.2004,-1.2019,-1.195,,,,0.021863783,0.016863564,0.026863875,0.47647277,0.42116132,0.53178287,,,,20
395234439752169344,3.0582193135460027,50.41997493299496,2016.0,91.96457630276807,0.018302355,-461.332056786813,0.015434003,-551.6672959352079,0.013221998,,,false,,,,,,,,,,,,,,,,,,,
409824168780424832,24.588466983866212,57.23095397492771,2016.0,75.88558947033205,0.021603774,-194.9316542782594,0.013856213,-347.11029477420243,0.014629321,-17.724129,0.16269529,false,3414.948,3414.7585,3415.1035,-0.2848,-0.286,-0.2839,,,,0.01376878,0.01,0.018768806,0.39264035,0.33833298,0.4643637,,,,20
411311395692644224,15.495585706669338,54.18217771927336,2016.0,90.01291497834785,0.025714919,-304.13454039362045,0.019989781,-116.38279060949287,0.019536635,-7.1885324,1.8966777,false,,,,,,,,,,,,,,,,,,,
411413822074322432,17.094749861202942,54.91320397755905,2016.0,130.28806976927032,0.4347771,3468.251393146748,0.3536465,-1564.8444473117734,0.36520144,-97.093796,0.25253788,false,,,,,,,,,,,,,,,,,,,
423027104407576576,2.874734923550554,59.13922658078038,2016.0,107.38727063119035,0.027303873,-905.7217674154335,0.024964612,-1166.8263106109798,0.02655277,,,false,,,,,,,,,,,,,,,,,,,
425040000962497792,12.281184764215306,57.815739188554126,2016.0,168.71856118825883,0.021581342,1144.6933944408322,0.018388271,-469.66761852950583,0.019459886,10.332795,0.11883571,false,,,,,,,,,,,,,,,,,,,
425040000962559616,12.285227381524425,57.81272812559009,2016.0,168.83216034019418,0.1663396,1078.6091666696218,0.1266705,-551.1334202185512,0.1531009,,,false,5726.01,5722.719,5730.129,-0.972,-0.9897,-0.9501,0.9600481,0.92003167,1.0003321,1.2662435,1.2604617,1.2720298,1.1434221,1.1204052,1.1664393,10.061203,8.896101,11.193326,00
426641955043723520,15.336900310600058,61.36213773499954,2016.0,94.97013378459856,0.017161392,362.4915172244558,0.013505089,-811.6220044630483,0.016424565,6.9985495,0.1531898,false,,,,,,,,,,,,,,,,,,,
436648129327098496,47.27540485964256,49.612873858437766,2016.0,94.54120718732504,0.14481215,1262.1927940527312,0.1332833,-91.08282222682243,0.13924265,49.472805,0.11690042,false,5873.7397,5872.3535,5875.1943,-0.0248,-0.0339,-0.0156,1.0567328,1.0167291,1.0967373,2.2305992,2.2224457,2.2392669,1.4422743,1.4133086,1.4712557,8.024676,7.177075,8.872261,00
438829629114680704,41.05222216366374,49.22805187168278,2016.0,89.68495177109118,0.16380331,334.70816467359896,0.18234769,-89.25073359566134,0.16147582,24.550722,0.12726237,false,6281.219,6278.441,6283.7715,-0.3648,-0.3757,-0.3563,1.1880293,1.1480212,1.2280362,2.3408136,2.3301818,2.3504896,1.2919663,1.2659609,1.3179432,2.774404,2.1767707,3.3722296,00
438829835272390784,41.044939504692216,49.23139692008499,2016.0,89.3738958436431,0.032019433,317.2462548195822,0.031426914,-60.4091315736588,0.02852022,25.25429,0.1375571,false,3547.1597,3532.9824,3557.8218,-0.4062,-0.4936,-0.3233,,,,0.042026807,0.041581742,0.042686403,0.56593406,0.551501,0.5950608,,,,20
