query_id,main_id,ra,dec,otype,sp_type,ids,V
"CNS5 1","2MASS J00001354+2554180",0.056437,25.905018,"BD*","T4.5","TIC 117927630|CNS5 1|2MASS J00001354+2554180|SDSS J000013.54+255418.6|SDSS J000013.53+255418.7",
"CNS5 1002","2MASS J04013766+2849529",60.40663438077208,28.831306820209996,"BD*","L4.0","TIC 23052279|Gaia DR3 167202325215063168|CNS5 1002|2MASS J04013766+2849529|WISEA J040137.22+284951.6|Gaia DR2 167202325215063168|WISE J040137.21+284951.7",
"CNS5 1017","PM J04061-0534",61.52864642076,-5.579060083099999,"PM*","M3.5V","TIC 269634384|Gaia DR3 3197487123332369536|CNS5 1017|2MASS J04060688-0534444|WISEA J040606.88-053446.1|UCAC4 423-005428|PM J04061-0534|Gaia DR2 3197487123332369536|Karmn J04061-055",13.313
"CNS5 1018","G 248-12",61.655169453842916,79.2670633101789,"PM*","dM5.5","TIC 397098265|AP J04063732+7916012|Gaia DR3 555032443207370880|CNS5 1018|PM J04066+7916|2MASS J04063732+7916012|LSPM J0406+7916|NLTT 12380|USNO-B1.0 1692-00021504|G 248-12|LHS  1629|LP   14-241|WISEA J040638.26+791557.1|Gaia DR2 555032443207370880",
"CNS5 102","* zet Tuc",5.017744306231667,-64.87479366391888,"PM*","F9.5V","TIC 425935521|GJ 17|HIP 1599|Gaia DR3 4900108950849461248|PLX   54|* zet Tuc|CPC 21    53|CPD-65    13|Ci 20   22|FK5   10|GC   401|GCRV   185|GEN# +1.00001581|HD   1581|HIC   1599|HR    77|JP11   371|LFT   36|LHS     5|LPM  16|LTT   167|N30   57|NLTT  1045|CNS5 102|PM 00175-6510|PPM 351761|ROT    82|SAO 248163|SKY#   585|SPOCS   14|TD1   161|UBV     236|UBV M   7307|Zkh   8|uvby98 100001581|2MASS J00200446-6452282|PLX   54.00|TYC 8843-1706-1|IRAS 00176-6509|AKARI-IRC-V1 J0020061-645221|WISE J002006.98-645216.9|IRAS F00176-6509|WISEA J002007.07-645217.0|WEB   286|Gaia DR2 4900108950847893376",4.23
"CNS5 1028","HD 281621",62.15582936198959,33.63703664928389,"**","K7V","TIC 467729221|GJ 162|HIP 19337|Gaia DR3 170639948323693952|2MASS J04083742+3338134|PLX  913|LSPM J0408+3338|ASCC  560833|UCAC2  43575053|USNO-B1.0 1236-00072911|CNS5 1028|CSI+33-04054|Ci 20  281|G  39-2|G  38-26|GEN# +9.80038026|GEN# +6.10010162|HD 281621|HIC  19337|LFT  331|LHS  1634|LTT 11353|NLTT 12612|Ross  587|TYC 2362-37-1|UBV M  42929|[RHG95]   724|PLX  913.00|WISEA J040837.83+333814.6|UCAC4 619-013315|StKM 2-335|PM J04086+3338|Gaia DR1 170639944023926912|Gaia DR2 170639948323693952|** RAO  192|WDS J04086+3338AB|WISE J040837.82+333814.6",10.192
"CNS5 103","LP  292-67",5.122534422269582,33.085118848376105,"PM*","M5.5V","TIC 57984826|GJ 3028|Gaia DR3 2863419584886542080|PLX   54.0|LSPM J0020+3305|2MASS J00202922+3305081|USNO-B1.0 1230-00007000|CNS5 103|LHS   112|LP  292-67|NLTT  1065|USNO 583|[RHG95]    68|PLX   54.01|Gaia DR2 2863419584886542080|WISEA J002030.30+330457.3",
"CNS5 1035","WISE J041022.71+150248.4",62.59198383333333,15.053051111111111,"BD*","Y0","CNS5 1035|WISEP J041022.71+150248.5|WISE J041022.71+150248.4|EQ J0410+1502|WISEA J041022.75+150247.9",
"CNS5 1036","L  230-188",62.61718081343875,-53.60226070933555,"PM*","M4.5V","TIC 219223742|GJ 1068|Gaia DR3 4780100658292046592|GEN# +9.86230188|L  230-188|LFT  334|LHS    22|LTT  1891|CNS5 1036|[RHG95]   733|2MASS J04102815-5336078|WISEA J041027.14-533633.5|GCRV 26227|Gaia DR2 4780100658292046592|NLTT 12731|PM 04093-5342",13.58
"CNS5 1040","G 247-15",63.070896361997086,64.73211762319222,"PM*","M4V","TIC 84649454|GJ 3266|Gaia DR3 476809509515283712|CNS5 1040|LSPM J0412+6443|NLTT 12684|2MASS J04121693+6443560|USNO-B1.0 1547-00108465|G 247-15|LHS  1638|USNO 806|[GKL99] 107|[RHG95]   729|PLX  914.02|1RXS J041215.8+644407|WISEA J041217.81+644351.1|UCAC4 774-020630|PM J04122+6443|Gaia DR2 476809509515283712|Karmn J04122+647",
