type,id,name,spectral_type,x_pc,y_pc,z_pc,vx_kms,vy_kms,vz_kms,temperature_k,mass_solar,luminosity_solar,radius_solar,metallicity_dex,age_gyr,absolute_mag,epoch,notes,constellation,ra_deg,dec_deg,astrometry_epoch,parallax_mas,parallax_error_mas,pm_ra_cosdec_masyr,pm_ra_error_masyr,pm_dec_masyr,pm_dec_error_masyr,radial_velocity_kms,radial_velocity_error_kms,astrometry_ref,radial_velocity_ref
star,sun,Sun,G2V,0,0,0,0,0,0,5772,1,1,,,,4.83,2000.0,"Reference origin. Adopted solar properties; NASA Sun facts and the IAU 2015 nominal effective temperature. Absolute visual magnitude +4.83: NASA Sun Fact Sheet (9 May 2024), https://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html .",,,,,,,,,,,,,,
star,sirius-a,Sirius A,A1V,-1.770640,-1.914144,-0.407875,14.960,0.257,-11.344,9845,2.063,24.74,,,,1.42,2000.0,"Sirius system position and physical properties use Bond et al. (2017), including the adopted 378.9 mas parallax. The component offset is below this catalog's spatial precision. Motion: system motion shared by A and B; Hipparcos proper motion (SIMBAD HIP 32349; 2007A&A...474..653V) and true systemic RV -8.47 km/s from Bond et al. (2017) section V.1. No binary orbital motion; Galactic conversion documented in README.",Canis Major,101.287155333,-16.716115861,2000.0,379.21,1.58,-546.01,1.33,-1223.07,1.24,-5.5,0.4,2007A&A...474..653V,2006AstL...32..759G
star,10pc-0117,Altair,A7Vn,3.407693206,3.750804031,-0.794402649,-29.156964,-10.427505,-2.548172,7586,1.60,9.865,1.8183,0.19,,2.209616,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Aql. SIMBAD compiled Johnson V=0.76; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2018AJ....155...30B, 2024A&A...683A.125P. No component-resolved age was adopted from the reviewed sources.",Aquila,297.69582729638694,8.868321196436963,2000.0,194.95,0.57,536.23,,385.29,,-26.6,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,cns5-4607,Vega,A0V,2.780493878,6.695579158,2.529989939,-15.808350,-6.042547,-7.608479,9333,2.51,50.183,2.7095,,,0.603555,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Lyr. SIMBAD compiled Johnson V=0.03; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2018AJ....155...30B, 2026ApJ..1006..228K. No component-resolved age was adopted from the reviewed sources.",Lyra,279.234734787025,38.783688956244,2000.0,130.23,0.36,200.94,,286.23,,-13.5,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,cns5-5665,Fomalhaut,A4V,3.060044899,1.143381695,-6.976657094,-5.712903,-8.262250,-11.037067,8318,1.97,14.147,1.8111,,,1.726541,2000.0,"Curated bright-star landmark; SIMBAD identity * alf PsA. SIMBAD compiled Johnson V=1.16; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2007ApJ...660.1556R, 2021A&A...647A..49S. No component-resolved age was adopted from the reviewed sources.",Piscis Austrinus,344.4126927211701,-29.622237033389442,2000.0,129.81,0.47,328.95,,-164.67,,6.5,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,cns5-1912,Pollux,K0IIIb,-9.290307350,-2.013605824,4.114856647,-16.313918,4.759853,-25.967250,4786,1.70,38.763,9.0556,0.04,,1.063536,2000.0,"Curated bright-star landmark; SIMBAD identity * bet Gem. SIMBAD compiled Johnson V=1.14; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2018AJ....155...30B, 2025A&A...703A.128B. No component-resolved age was adopted from the reviewed sources.",Gemini,116.32895777437875,28.02619889009357,2000.0,96.54,0.27,-626.55,,-45.8,,3.391,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,cns5-3517,Arcturus,K1.5IIIFe-0.5,3.876210306,1.042257937,10.517559325,25.155697,-119.088368,-3.066607,4467,,188.260,22.9087,-0.63,,-0.307202,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Boo. SIMBAD compiled Johnson V=-0.05; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2024A&A...690A..97C. No component-resolved age was adopted from the reviewed sources.",Bootes,213.915300294925,19.1824091615312,2000.0,88.83,0.54,-1093.39,,-2000.06,,-5.229,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,cns5-1318,Capella,G3III:,-12.482300210,3.914474582,1.044814264,-35.938854,-14.310343,-9.103268,5205,,,,-0.37,,-0.510225,2000.0,Curated bright-star landmark; SIMBAD identity * alf Aur. SIMBAD compiled Johnson V=0.08; absolute V derived from parallax with no extinction correction. Physical parameters: 2022A&A...663A...4S. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.,Auriga,79.17232794433404,45.99799146983673,2000.0,76.2,0.46,75.25,,-426.89,,29.19,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-castor,Castor,A1V+A2Vm,-14.289404041,-1.866266103,5.963023490,4.616378,-5.017993,-19.879173,8913,,46.520,2.8604,0.1921,,0.614968,2000.0,"Curated bright-star landmark; SIMBAD identity * alf Gem. SIMBAD compiled Johnson V=1.58; absolute V derived from parallax with no extinction correction. Physical parameters: 1999A&A...352..555A, 2012MNRAS.427..343M, 2023ApJS..266...11B. No component-resolved age was adopted from the reviewed sources. The entry represents the named unresolved system; physical values describe its integrated or primary-dominated light.",Gemini,113.64947163976585,31.88828221646326,2000.0,64.12,3.75,-191.45,,-145.19,,-11.23,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
star,bright-aldebaran,Aldebaran,K5+III,-19.167687600,-0.325171766,-7.071704382,-48.492444,-19.025883,-24.866653,3671,,,,-0.93,,-0.691680,2000.0,Curated bright-star landmark; SIMBAD identity * alf Tau. SIMBAD compiled Johnson V=0.86; absolute V derived from parallax with no extinction correction. Physical parameters: 2024A&A...690A..97C. No component-resolved age was adopted from the reviewed sources.,Taurus,68.9801627900154,16.5093023507718,2000.0,48.94,0.77,63.45,,-188.94,,54.398,,SIMBAD TAP snapshot 2026-09-25,SIMBAD TAP snapshot 2026-09-25
