type,id,name,spectral_type,x_pc,y_pc,z_pc,vx_kms,vy_kms,vz_kms,temperature_k,mass_solar,luminosity_solar,radius_solar,metallicity_dex,age_gyr,absolute_mag,epoch,notes,constellation,ra_deg,dec_deg,astrometry_epoch,parallax_mas,parallax_error_mas,pm_ra_cosdec_masyr,pm_ra_error_masyr,pm_dec_masyr,pm_dec_error_masyr,radial_velocity_kms,radial_velocity_error_kms,astrometry_ref,radial_velocity_ref
star,sun,Sun,G2V,0,0,0,0,0,0,5772,1,1,,,,4.83,2000.0,"Reference origin. Adopted solar properties; NASA Sun facts and the IAU 2015 nominal effective temperature. Absolute visual magnitude +4.83: NASA Sun Fact Sheet (9 May 2024), https://nssdc.gsfc.nasa.gov/planetary/factsheet/sunfact.html .",,,,,,,,,,,,,,
star,proxima-centauri,Proxima Centauri,M5.5Ve,0.902932,-0.936976,-0.043783,-28.313,0.668,13.738,2930,0.122,,,,,15.53,2000.0,Position from J2000 direction and Gaia EDR3 parallax 768.0665 mas (SIMBAD/CNS5). Temperature is the Pecaut-Mamajek M5.5V class estimate. Motion: SIMBAD GJ 551; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV -20.578199 km/s (2020AJ....160..120J); converted to Sun-relative Galactic axes as documented in README.,Centaurus,217.392321472,-62.676075117,2016.0,768.0665,0.0499,-3781.741008265,0.031386077,769.465014648,0.050524533,-22.345,0.006,2020yCat.1350....0G,2014MNRAS.439.3094B
star,alpha-centauri-b,Alpha Centauri B,K1V,0.953651,-0.929646,-0.015841,,,,5170,0.909,,,,,5.71,2000.0,Position from the J2000 component direction and the 750.81 mas Alpha Centauri AB parallax from Akeson et al. (2021). Temperature is a K1V class estimate.,Centaurus,219.89609629,-60.837527566,2000.0,743.0,1.3,-3614.39,20.48,802.98,19.52,,,2016A&A...586A..90P; 2007A&A...474..653V,
star,alpha-centauri-a,Alpha Centauri A,G2V,0.953716,-0.929581,-0.015797,,,,5770,1.079,,,,,4.38,2000.0,Position from the J2000 component direction and the 750.81 mas Alpha Centauri AB parallax from Akeson et al. (2021). Temperature is a G2V class estimate.,Centaurus,219.902058332,-60.833992688,2000.0,743.0,1.3,-3679.25,3.89,473.67,3.24,,,2016A&A...586A..90P; 2007A&A...474..653V,
star,barnards-star,Barnard's Star,M4.0Ve,1.519999,0.913621,0.444229,-140.951,5.139,18.556,3210,0.144,,,,,13.22,2000.0,Position from J2000 direction and Gaia EDR3 parallax 546.9759 mas (SIMBAD/CNS5). Temperature is an M4V class estimate. Motion: SIMBAD GJ 699; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV -110.11 km/s (2018MNRAS.475.1960F); converted to Sun-relative Galactic axes as documented in README.,Ophiuchus,269.448502525,4.739420051,2016.0,546.9759,0.0401,-801.550978368,0.031820867,10362.394206547,0.036070455,-110.353,0.0032,2020yCat.1350....0G,2018A&A...616A...7S
brown_dwarf,luhman-16-a,Luhman 16 A,L8+/-1,0.520723,-1.918100,0.184114,,,,1420,0.032,,,,,,2000.0,System position uses the J2000 direction and 500.993 mas parallax from Bedin et al. (2024). L8+/-1 classification is from Luhman (2013); temperature is a class estimate.,Vela,162.308643669,-53.318044753,2016.0,501.557,0.082,-2759.502,0.147,356.856,0.15,,,2018A&A...618A.111L,
brown_dwarf,luhman-16-b,Luhman 16 B,T1+/-2,0.520723,-1.918100,0.184114,,,,1240,0.027,,,,,,2000.0,System position uses the J2000 direction and 500.993 mas parallax from Bedin et al. (2024). T1+/-2 classification is from Luhman (2013); temperature is a class estimate.,Vela,162.308402229,-53.31827781,2015.5,501.557,0.082,-2759.502,0.147,356.856,0.15,,,FROM:Luhman16A,
sub_brown_dwarf,wise-0855-0714,WISE 0855-0714,Y4,-1.199854,-1.712901,0.902867,,,,250,,,,,,,2000.0,Position from J2000 direction and 439.0 mas infrared parallax from Kirkpatrick et al. (2021). The 250 K display temperature is within the published 225-260 K estimate.,Hydra,133.780984,-7.243932,2016.7,439.0,2.4,-8123.7,1.3,673.2,1.3,,,2021ApJS..253....7K,
star,wolf-359,Wolf 359,M6.0V,-0.587411,-1.207350,1.999649,-28.424,-47.825,-13.655,2810,0.090,,,,,16.55,2000.0,Position from J2000 direction and Gaia EDR3 parallax 415.1794 mas (SIMBAD/CNS5). Temperature is an M6V class estimate. Motion: SIMBAD GJ 406; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV 19.57 km/s (2018MNRAS.475.1960F); converted to Sun-relative Galactic axes as documented in README.,Leo,164.103190308,7.002726941,2016.0,415.1794,0.0684,-3866.338275144,0.08130645,-2699.214987679,0.06910815,19.442,0.032,2020yCat.1350....0G,2020A&A...636A..36L
star,lalande-21185,Lalande 21185,M2.0V,-1.054409,-0.094440,2.315617,46.167,-53.797,-74.238,3560,0.390,,,,,10.44,2000.0,Position from J2000 direction and Gaia EDR3 parallax 392.7529 mas (SIMBAD/CNS5). Temperature is an M2V class estimate. Motion: SIMBAD GJ 411; Gaia EDR3 proper motion (2020yCat.1350....0G) and RV -84.64 km/s (2018MNRAS.475.1960F); converted to Sun-relative Galactic axes as documented in README.,Ursa Major,165.830959676,35.948653033,2016.0,392.7529,0.0321,-580.057087214,0.025565954,-4776.588719443,0.030034095,-85.016,0.023,2020yCat.1350....0G,2020A&A...636A..36L
